a,w,a_change,w_change
7,15,-1.0073150100000006,1.7213362699999992
7,16,0.30869461350000016,4.468480519999998
7,17,3.8981035539999995,2.114104770000001
7,18,2.2355655710000004,-1.2936909499999985
7,19,1.8399019766363638,2.5230606736363637
7,20,1.4088558180714283,2.927451283571429
7,21,0.6457963207647059,3.7184164141176477
7,22,0.6321409113947368,3.9076644802631573
7,23,0.8442069268518518,3.1117199040740746
7,24,0.8902854443333331,2.6828445733333335
7,25,0.31931725025714297,3.049536408
7,26,0.8336392481724136,3.3384650144827592
7,27,0.6590996372400001,3.8293130762
7,28,-0.3043923787857143,4.375352836666666
7,29,-0.2821698276,4.790705286000001
7,30,-0.14596211100000003,3.9857351700000003
7,32,0.5928130420000004,2.544752079999995
8,6,0.5955683260000004,3.064262265
8,7,0.1849314350000011,2.0159709989999994
8,8,-0.20438163499999984,0.7505720156666674
8,9,0.17512728999999982,2.2451869663333333
8,10,0.8048357317499999,2.28133875
8,11,1.8383181396666661,4.49645921
8,12,1.778656996,3.5463717619999997
8,13,-0.9791383255000001,1.9125382899999992
8,14,0.5323094343999999,2.5708626239999997
8,15,0.4358088287499997,3.1885853350000004
8,16,1.0057426822000002,2.829668082
8,17,2.8296932990000006,2.416507232499999
8,18,1.5460915963750006,1.515169548749999
8,19,1.3442234149166665,2.826910816666666
8,20,2.1072628401874995,3.3694307825000003
8,21,1.0369622246363634,4.39735427
8,22,0.4701154766923078,4.116412220512821
8,23,0.6516813233103449,3.787051669310345
8,24,0.8970694811666667,3.2529971559999993
8,25,1.0217321555999999,4.291937881
8,26,0.5119297818918919,3.3031400305405403
8,27,0.5513604256000001,3.9833637846666665
8,28,-0.3648399382222222,4.895045357222222
8,29,-0.7984983737857144,4.30348214
8,30,-0.9879329085999995,3.9702501079999983
8,31,-0.5277795953333339,2.0546172766666637
9,1,1.6672481240000003,3.036655519
9,3,0.27973912349999974,3.626078552
9,4,1.1058189900000004,2.6030063195
9,5,0.5935008929999999,1.2064666910000001
9,6,0.12295683349999997,0.6061500070000001
9,7,0.07383589979999954,1.7239511976000004
9,8,3.311520187333334,2.063942486666667
9,9,2.4808985897499998,1.762729921125
9,10,2.1196286027999998,3.2479002019999994
9,11,1.576852114166667,3.682146206666667
9,12,-0.39342791083333345,2.7376365833333325
9,13,1.6936912256666659,2.525913716666667
9,14,0.7337322109999995,-0.49727182500000033
9,15,1.5182978498000002,3.652993284
9,16,1.6797023657777777,2.109293468888889
9,17,1.3346585973846152,1.4889524161538457
9,18,2.029185472714286,1.4152307842857144
9,19,1.3420124382857141,2.1884433678571433
9,20,1.5047584058181818,2.556618880909091
9,21,1.1953872779999999,3.0634368357142856
9,22,0.5697000445238094,3.3869892842857148
9,23,0.7174623762352942,4.446652609999999
9,24,1.227759961434782,4.205791050869565
9,25,0.42558629867857123,3.819822043571428
9,26,0.5176800671290321,3.2780126661290323
9,27,0.5717387071379311,4.312466672413793
9,28,0.30679245552941187,4.291749465294118
9,29,-0.59373943836,4.1978244772
9,30,-0.645532239882353,4.288390660588235
9,31,-0.33965831300000104,2.3313938400000005
10,1,0.7027240399999997,4.5592169
10,2,0.7433840131666664,2.756592640333334
10,3,-1.5112085830000002,3.85376565
10,4,0.5930677800000002,1.6674545440000004
10,5,-1.0227733795,2.19619578125
10,6,0.21153744924999973,2.7341220112499998
10,7,-0.22788982699999968,2.054638276333333
10,8,-0.6458708145000002,3.9945893854999994
10,9,2.3553841232000003,2.6377595874
10,10,1.4687951359999996,2.4955957
10,11,0.9442273621666667,2.8161264749999995
10,12,1.7945716520000001,3.022309187999999
10,13,1.9648144999999992,0.960017885000001
10,14,1.5612926600000003,3.05344268
10,15,2.1350020685714286,3.2900332728571433
10,16,1.2336114598124999,1.5836408699999998
10,17,1.4131352100000003,2.8014211435714285
10,18,1.6156890545882352,2.4218189470588243
10,19,1.2199734319999997,3.0224878939999997
10,20,1.1774566813333336,3.0156993986666674
10,21,0.6802718657894739,3.607775291052632
10,22,1.6067694379090909,3.604318218181818
10,23,1.9561812527272728,3.7678629213636365
10,24,1.148334540913044,4.204175333478261
10,25,0.7676488339047621,3.4282463109523813
10,26,0.6449709644782606,3.9095714634782612
10,27,1.1261535286590911,3.5998313397727273
10,28,-0.1798069813,4.605666498999999
10,29,0.19654875264285693,4.455011220714286
10,30,-0.7616105907222221,3.4820116372222225
10,31,-0.5158410245000002,2.4672761250000015
11,0,6.784607959999999,3.7591104900000003
