a,w,num,a_change_mean,w_change_mean,a_change_std,w_change_std,a_change_min,w_change_min,a_change_max,w_change_max,a_change_median,w_change_median
1,13,1,0.5776353320000001,8.14637676,0.0,0.0,0.5776353320000001,8.14637676,0.5776353320000001,8.14637676,0.5776353320000001,8.14637676
1,14,1,1.4504231559999998,5.41613096,0.0,0.0,1.4504231559999998,5.41613096,1.4504231559999998,5.41613096,1.4504231559999998,5.41613096
1,15,2,1.4123543234999998,2.7777413799999993,0.007178085499999987,0.18572480000000002,1.405176238,2.5920165799999992,1.4195324089999999,2.9634661799999993,1.4123543234999998,2.7777413799999993
1,16,2,1.134318484,5.002710880000002,0.07674880799999984,0.3678217400000001,1.0575696760000002,4.634889140000002,1.2110672919999999,5.370532620000002,1.134318484,5.002710880000002
1,17,5,1.00908528,4.2533834839999995,0.5256184742857205,1.5583867853810283,0.37838678300000006,1.8243821099999984,1.838471386,6.255086389999999,0.8800643310000003,3.904584919999998
1,18,4,0.7491350784999999,3.7321679075,0.23921081886689272,1.7723781096952373,0.49941143500000007,1.2022277300000006,0.9887004999999998,5.713827500000001,0.7542141895,4.006308199999999
1,20,4,0.7728251880000001,1.261552277499999,0.44324458783359155,1.3693175304185703,0.3362592830000002,-0.11628766000000113,1.432912603,3.1597845699999993,0.6610644330000001,1.0013560999999989
1,21,3,0.5313124583333332,3.6307150900000003,0.2503454128628357,0.40860005502960656,0.25165851699999986,3.2038682099999996,0.859167335,4.18145487,0.4831115229999998,3.506822190000001
1,22,7,0.9107166824285714,2.5716021342857154,0.4799270149310041,1.072764519663673,0.28005708799999995,0.9724439400000016,1.7313725169999998,4.784475709999999,1.0127635000000001,2.5583329200000016
1,23,4,1.07419485175,3.2804516050000005,0.36970723461750454,1.1353037893530706,0.8098793709999998,1.6826053099999996,1.7107174960000002,4.814775610000002,0.8880912699999999,3.3122127500000005
1,24,15,1.0312776202,2.0203802079999997,0.37414742193459644,1.5097634582958572,0.478901971,-1.7515643899999986,1.869382847,4.497498090000001,0.9997564750000001,2.238638769999998
1,25,13,0.9769094293846154,2.3517527930769235,0.2546392368119344,1.3121767906439483,0.378400753,-0.9569785499999988,1.558354797,3.7724576799999987,1.035666245,2.759084040000001
1,26,27,0.9972699216296297,2.064324207037038,0.33424086106093365,0.5768341373834697,0.28513541799999986,-0.2806361200000005,1.961032661,2.6836005100000015,0.9727281640000001,2.172846940000003
1,27,11,0.9832097999090906,1.7235330509090903,0.3300811478517546,0.5849694569058709,0.47538108199999995,0.5150208999999997,1.337471359,2.60346715,1.0962934529999997,1.6486818999999997
2,5,1,0.009361503000000049,5.406045519999999,0.0,0.0,0.009361503000000049,5.406045519999999,0.009361503000000049,5.406045519999999,0.009361503000000049,5.406045519999999
2,6,3,0.5034285883333335,5.266956456,0.6213297010761291,1.532306558339405,-0.11476821299999962,3.4906839410000003,1.353313853,7.230075061,0.271740125,5.0801103659999995
2,8,2,0.739723267,3.484694479,0.23813732099999996,1.6619673650000006,0.5015859460000001,1.8227271139999992,0.977860588,5.1466618440000005,0.739723267,3.484694479
2,10,2,-0.011728062999999844,3.38076374,0.12665163199999996,0.03684645000000142,-0.1383796949999998,3.3439172899999985,0.11492356900000011,3.4176101900000013,-0.011728062999999844,3.38076374
